qualifier;value;description
XPST;AMOR;Amortised Value - quantity expressed as current amortised (book) value

# Function of the Message (tag 23G, no qualifier)
23G;NEWM;New – original instruction or statement (new message)
23G;CANC;Cancellation Request – requests cancellation of a previously sent message
23G;CODU;Copy Duplicate – copy for information/audit purposes (duplicate of sent message)
23G;COPY;Copy – copy to a party other than the account owner or servicer
23G;DUPL;Duplicate – duplicate of a message previously sent

# Page Number/Indicator (tag 28E, no qualifier)
28E;LAST;Last Page – this is the last page of a multi-page statement
28E;MORE;Intermediate Page – more pages follow in this multi-page statement
28E;ONLY;Only Page – single-page statement (no further pages)

